,elo1_pre,elo2_pre,elo_prob1,elo_prob2,rating1_pr,rating2_pr,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,score1,score2,result
8195,0.36291607277605414,0.5816775244299672,0.458463,0.541537,0.31423440372856704,0.4885579215997991,0.29692551858920135,0.34982149220415126,0.3898772901356398,0.5483733211327895,0.457324,0.542676,2.0,9.0,1
8196,0.474134317095665,0.5087540716612372,0.522311,0.477689,0.6064907854791126,0.5301426599171645,0.4190850007541924,0.3925288940584807,0.45827106474905255,0.5177743734296969,0.558502,0.441498,2.0,6.0,1
8197,0.5297224784103292,0.35920195439739344,0.593168,0.406832,0.4877496044811224,0.4444630381123709,0.581977426695785,0.36276750956411824,0.6178215479154986,0.4804471292533887,0.582018,0.417982,6.0,5.0,0
8198,0.5211285319024062,0.5506921824104236,0.523609,0.476391,0.5992645486808912,0.6295025728987985,0.3849299256956605,0.6160367907592801,0.2786069610292666,0.5907518068178294,0.47759,0.52241,6.0,5.0,0
8199,0.338517649031609,0.358428338762215,0.528859,0.471141,0.25830589643819235,0.2750700748859976,0.1845705366570262,0.19938076956694215,0.30281402069963537,0.3563672880672477,0.532372,0.467628,7.0,4.0,0
8200,0.48683658925127915,0.45451954397394106,0.54572,0.45428,0.4788985333732413,0.34644186922143644,0.42048845429922427,0.33956149610375663,0.5420175271242202,0.5226732451378765,0.591528,0.408472,3.0,1.0,0
8201,0.6850004192169034,0.5680781758957656,0.57321,0.42679,0.6280839782785309,0.5493034347153076,0.3662390724090214,0.45008505173700525,0.38577410354483127,0.5362448432023326,0.547501,0.452499,13.0,10.0,0
8202,0.7256644587909782,0.6770765472312704,0.549019,0.450981,0.7860777354940781,0.588378027862611,0.5213272473291756,0.31722617038585943,0.4246818532863566,0.5007932162908278,0.60096,0.39904,3.0,2.0,0
8203,0.5505156367904752,0.3265472312703577,0.611052,0.388948,0.5590712789156366,0.2166673639292138,0.4502233065103193,0.3746276885425562,0.5262711913828999,0.525683799125283,0.656001,0.343999,4.0,0.0,0
8204,0.614907353064476,0.4158387622149834,0.602026,0.397974,0.6915807927481076,0.4026272852779987,0.47226211790321415,0.36586030000067254,0.2859408936517286,0.4921152951394274,0.604696,0.395304,3.0,2.0,0
8205,0.5184036220340409,0.7470276872964164,0.453428,0.546572,0.469662633086758,0.7036355269213063,0.33391373351433956,0.3634499404974016,0.39889303688793987,0.4012283259406309,0.46862,0.53138,15.0,8.0,0
8206,0.5236438333193598,0.3651058631921819,0.589131,0.410869,0.48236199598067353,0.4496925072166675,0.40096798945442386,0.3565281410312441,0.4116898870376094,0.4824785973510345,0.543071,0.456929,2.0,0.0,0
8207,0.46076129789553155,0.5217426710097717,0.513143,0.486857,0.5966990208235349,0.5397230473162364,0.35908080350994553,0.4571278734376368,0.3801914670447909,0.57905944663296,0.52958,0.47042,10.0,4.0,0
8208,0.3841703697493088,0.6496742671009772,0.441896,0.558104,0.3314661991704791,0.6146508806425965,0.4950747962041173,0.2388709970215084,0.5879876132102431,0.30437203387201833,0.501984,0.498016,2.0,5.0,1
8209,0.5985578938542802,0.3834283387622145,0.607622,0.392378,0.5993500662761363,0.42074216625528155,0.48634911890661786,0.32987971734584803,0.5429569503237078,0.5425281491361394,0.603998,0.396002,3.0,5.0,1
8210,0.5580615410413344,0.714291530944625,0.478503,0.521497,0.5330739299610895,0.7629586244404465,0.5060696086725561,0.38588947980609556,0.42829616657682884,0.41620940475821205,0.466757,0.533243,6.0,10.0,1
8211,0.3545317347195437,0.5898208469055373,0.452751,0.547249,0.30829093085902465,0.4943730912437763,0.44084180979925375,0.3343709869363223,0.5536231859909639,0.5280606563479016,0.484307,0.515693,10.0,8.0,0
8212,0.5042340907185378,0.4376221498371329,0.557535,0.442465,0.4933937657673068,0.33225954901058385,0.337019038437576,0.28463421029630287,0.42828958494923397,0.45831500666894137,0.597008,0.402992,4.0,11.0,1
8213,0.5387356418210782,0.5795195439739412,0.519485,0.480515,0.550562278188737,0.5575869137765134,0.40598500796820586,0.4072364572757895,0.483836522367953,0.48516478488786874,0.540882,0.459118,9.0,4.0,0
8214,0.5174813448478246,0.371091205211726,0.585027,0.414973,0.47676059349211075,0.45517299083796997,0.180625782884425,0.20983910766272462,0.1512074787284296,0.330190917832439,0.525477,0.474524,2.0,0.0,0
8215,0.6079902741678544,0.4225162866449512,0.597484,0.402516,0.6874759481763378,0.4066435175500976,0.7645903424033159,0.35611464839679163,0.6422560486407272,0.4853334470672167,0.662731,0.337269,4.0,1.0,0
8216,0.6721304603001591,0.757614006514658,0.502323,0.497677,0.5801086073459615,0.7120863489938494,0.3338645470583221,0.45428385092750106,0.4381072072154633,0.48879695399981393,0.489199,0.510801,7.0,3.0,0
8217,0.3097174478074961,0.6489413680781757,0.417112,0.582888,0.17261726600248042,0.7503242270844661,0.4199572405742356,0.5621516408597959,0.5982207944441066,0.5893157355997394,0.351892,0.648108,4.0,8.0,1
8218,0.5329504485620865,0.5391693811074915,0.531725,0.468275,0.6083294137768842,0.6206333932979121,0.6138469710980387,0.5981154148709434,0.5555401891676407,0.5788339433605261,0.531753,0.468247,0.0,4.0,1
8219,0.33315167267544243,0.3636400651465797,0.52519,0.47481,0.254158293068799,0.27912814291093085,0.33514995310891205,0.39757148716155816,0.4871357506512895,0.5730535996774093,0.521588,0.478412,5.0,4.0,0
8220,0.7161482350968389,0.3918159609120514,0.642665,0.357335,0.7635438491469623,0.34020834204911493,0.4263350843711676,0.3279467233230018,0.3778145830538919,0.4700325692484258,0.665449,0.334551,5.0,3.0,0
8221,0.6817305273748634,0.7482899022801305,0.508913,0.491087,0.5870355325608249,0.7052671212818472,0.2862651740216815,0.44178830521807533,0.3832914969537061,0.4723007847637954,0.487476,0.512524,3.0,6.0,1
8222,0.4241217405885809,0.7304560260586317,0.42731,0.57269,0.31645786120494274,0.7917416223904951,0.5073550147231458,0.6760806277019895,0.6534964688318277,0.6684877012314279,0.379348,0.620652,4.0,0.0,0
8223,0.5236438333193598,0.5890472312703579,0.510935,0.489065,0.4813357848377308,0.5943187047650921,0.5771801076855478,0.5314355254045843,0.6325510638492857,0.6532189273860852,0.499539,0.500461,4.0,5.0,1
